,Consumption (KWH)
2018-11-30,29697467.477030586
2018-12-07,31882299.600503944
2018-12-14,38856541.9142874
2018-12-21,37524299.39143244
2018-12-28,29784084.0937762
2019-01-04,28853487.739968766
2019-01-11,35066589.04569828
2019-01-18,32820848.49727687
2019-01-25,27310752.717056077
2019-02-01,24228228.238330085
2019-02-08,22491189.512139115
2019-02-15,27580550.956069894
2019-02-22,15586911.293460907
2019-03-01,25561800.277466986
2019-03-08,20814851.42231162
2019-03-15,19375393.057403855
2019-03-22,20432197.242817536
2019-03-29,20918773.616822828
2019-04-05,17290207.572698575
2019-04-12,19062377.53101346
2019-04-19,21278412.914209586
2019-04-26,18401348.365255557
2019-05-03,24977072.213437777
2019-05-10,20938905.291631233
2019-05-17,27419144.19420568
2019-05-24,24189742.300725307
2019-05-31,21097099.94226834
2019-06-07,23671734.13590756
2019-06-14,22652472.637530778
2019-06-21,18099697.28429332
2019-06-28,25125764.566731554
2019-07-05,17817465.229077477
2019-07-12,18846570.84890649
2019-07-19,19652710.355284486
2019-07-26,18242110.843183864
2019-08-02,17561739.436397422
2019-08-09,15128455.302134905
2019-08-16,16851675.079445675
2019-08-23,16247136.338838138
2019-08-30,16415935.366544966
2019-09-06,16790917.71445118
2019-09-13,16379922.290429302
2019-09-20,16287265.54834691
2019-09-27,13894520.080227653
2019-10-04,19324969.24415901
2019-10-11,14394028.430645626
2019-10-18,22687424.15278928
2019-10-25,20650360.85908805
2019-11-01,24581975.313318033
2019-11-08,31903435.323411673
2019-11-15,23697005.685152747
2019-11-22,26148872.777371354
2019-11-29,28249085.36726591
2019-12-06,16408368.846798323
2019-12-13,37082534.027322486
2019-12-20,31713988.8781743
2019-12-27,29237905.375290986
2020-01-03,33992586.71921224
2020-01-10,18688568.946689334
2020-01-17,28978221.896858983
2020-01-24,21543558.876788232
2020-01-31,20130556.62499035
2020-02-07,24755207.454673108
2020-02-14,19092441.195395857
2020-02-21,20656377.52603093
2020-02-28,23655304.884554002
2020-03-06,26087899.394019205
2020-03-13,17533282.536272857
2020-03-20,20240591.243441604
2020-03-27,18736714.10026453
2020-04-03,18125046.20162462
2020-04-10,15492696.918396378
2020-04-17,16035089.220746357
2020-04-24,18358394.081029437
2020-05-01,17985047.878977057
2020-05-08,19793431.034574274
2020-05-15,15817492.784672884
2020-05-22,21221352.275549583
2020-05-29,16113266.000435254
2020-06-05,24229715.9133068
2020-06-12,33062993.810708366
2020-06-19,14698554.4132729
2020-06-26,14403516.949142322
2020-07-03,17976104.865744717
2020-07-10,17998973.08891675
2020-07-17,18970384.68292332
2020-07-24,17549219.981899325
2020-07-31,16884992.41673752
2020-08-07,18827333.29690322
2020-08-14,12550123.596037267
2020-08-21,13687693.708422674
2020-08-28,23186704.569879025
2020-09-04,20938195.374555726
2020-09-11,22000938.281162232
2020-09-18,17549662.774403024
2020-09-25,14122839.856767552
2020-10-02,13745300.921569828
2020-10-09,16136441.586227877
2020-10-16,18170269.098477896
2020-10-23,17376177.536956843
2020-10-30,24577305.226032652
2020-11-06,17833214.248724792
2020-11-13,28644123.950814158
2020-11-20,22941266.5744284
2020-11-27,28399467.7682142
2020-12-04,25346158.17260978
2020-12-11,25900274.230802145
2020-12-18,29737206.407874566
2020-12-25,26345570.420499325
2021-01-01,31219071.190692272
2021-01-08,36041754.08959569
2021-01-15,23100404.92056813
2021-01-22,38063578.799143896
2021-01-29,23288684.100167543
2021-02-05,29070139.798841357
2021-02-12,28334379.253600847
2021-02-19,31680872.847390242
2021-02-26,25229230.53904623
2021-03-05,14582486.82504834
2021-03-12,21598225.992679078
